2025-11-12 11:40:57,973 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.40Hz, tension=19.3N, samples=31264
2025-11-12 11:40:58,002 | INFO | app.acquisition.real_mscl_client | Stream-10603 | [FREQ CHECK] Sensor 10603 - Configured: 64.0 Hz, Measured: 62.44 Hz
2025-11-12 11:40:58,006 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:40:58,365 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.39Hz, tension=19.3N, samples=31296
2025-11-12 11:40:58,389 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:40:58,668 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.39Hz, tension=19.3N, samples=31328
2025-11-12 11:40:58,870 | INFO | app.acquisition.real_mscl_client | Stream-10603 | Received sweep #14901 from node 10603: 1 samples, accumulated: 20
2025-11-12 11:40:58,873 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:40:59,155 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.39Hz, tension=19.3N, samples=31360
2025-11-12 11:40:59,377 | INFO | werkzeug | Thread-2593 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:40:59] "[35m[1mPOST /_dash-update-component HTTP/1.1[0m" 204 -
2025-11-12 11:40:59,377 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:40:59,524 | INFO | werkzeug | Thread-2594 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:40:59] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:40:59,542 | INFO | werkzeug | Thread-2596 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:40:59] "[35m[1mPOST /_dash-update-component HTTP/1.1[0m" 204 -
2025-11-12 11:40:59,615 | INFO | werkzeug | Thread-2592 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:40:59] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:40:59,666 | INFO | werkzeug | Thread-2597 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:40:59] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:40:59,742 | INFO | werkzeug | Thread-2595 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:40:59] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:41:00,116 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.39Hz, tension=19.3N, samples=31392
2025-11-12 11:41:00,141 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:41:00,432 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.40Hz, tension=19.3N, samples=31424
2025-11-12 11:41:00,455 | INFO | app.acquisition.real_mscl_client | Stream-10603 | Received sweep #15001 from node 10603: 1 samples, accumulated: 24
2025-11-12 11:41:00,458 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:41:00,739 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.39Hz, tension=19.3N, samples=31456
2025-11-12 11:41:00,872 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:41:01,229 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.39Hz, tension=19.3N, samples=31488
2025-11-12 11:41:01,261 | INFO | app.acquisition.real_mscl_client | Stream-10603 | Stream loop iteration #980 - Still receiving data...
2025-11-12 11:41:01,374 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:41:01,377 | INFO | werkzeug | Thread-2599 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:01] "[35m[1mPOST /_dash-update-component HTTP/1.1[0m" 204 -
2025-11-12 11:41:01,459 | INFO | werkzeug | Thread-2600 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:01] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:41:01,501 | INFO | werkzeug | Thread-2602 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:01] "[35m[1mPOST /_dash-update-component HTTP/1.1[0m" 204 -
2025-11-12 11:41:01,542 | INFO | werkzeug | Thread-2598 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:01] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:41:01,573 | INFO | werkzeug | Thread-2603 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:01] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:41:01,576 | INFO | app.ui.dash_app | Thread-2604 (process_request_thread) | [CONTROL-RED] Actualizando lista de nodos (intervalo #122)
2025-11-12 11:41:01,678 | INFO | werkzeug | Thread-2601 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:01] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:41:01,697 | INFO | app.ui.dash_app | Thread-2604 (process_request_thread) | [CONTROL-RED] Sensores disponibles: ['10603', '10598', '14031']
2025-11-12 11:41:01,702 | INFO | app.ui.dash_app | Thread-2604 (process_request_thread) | [CONTROL-RED] Total de tarjetas de nodos creadas: 3
2025-11-12 11:41:01,705 | INFO | app.ui.dash_app | Thread-2604 (process_request_thread) | [CONTROL-RED] Total de paneles de control creados: 3
2025-11-12 11:41:01,708 | INFO | app.ui.dash_app | Thread-2604 (process_request_thread) | [CONTROL-RED] Retornando 3 nodos detectados
2025-11-12 11:41:01,710 | INFO | werkzeug | Thread-2604 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:01] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:41:02,019 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.39Hz, tension=19.3N, samples=31520
2025-11-12 11:41:02,049 | INFO | app.acquisition.real_mscl_client | Stream-10603 | Received sweep #15101 from node 10603: 1 samples, accumulated: 28
2025-11-12 11:41:02,054 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:41:02,401 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.39Hz, tension=19.3N, samples=31552
2025-11-12 11:41:02,425 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:41:02,695 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.40Hz, tension=19.3N, samples=31584
2025-11-12 11:41:02,872 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:41:03,141 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.39Hz, tension=19.3N, samples=31616
2025-11-12 11:41:03,382 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:41:03,385 | INFO | werkzeug | Thread-2606 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:03] "[35m[1mPOST /_dash-update-component HTTP/1.1[0m" 204 -
2025-11-12 11:41:03,454 | INFO | werkzeug | Thread-2607 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:03] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:41:03,542 | INFO | werkzeug | Thread-2605 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:03] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:41:03,543 | INFO | werkzeug | Thread-2609 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:03] "[35m[1mPOST /_dash-update-component HTTP/1.1[0m" 204 -
